Duration(ms);Popularity;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Track_Name_Artist_Name;Artists;id
170560;62;0.799;0.772;7;-3.272;0;0.105;0.213;0;0.0892;0.61;141.968;4;LAST WALTZ - TWICE;TWICE;39kH6C2twlYjyssIW02sbr
158253;68;0.855;0.87;10;-2.059;0;0.0826;0.0122;0.000675;0.0202;0.863;103.028;4;PING PONG - HyunA&DAWN;HyunA&DAWN;0Z99Xe1lGBmq60RwJ5YU18
167594;61;0.498;0.871;2;-4.593;0;0.0494;0.000483;0;0.279;0.613;150.035;4;Attention, please! - ENHYPEN;ENHYPEN;59qDYPZPkMPl8qSYRig1xn
196170;70;0.568;0.809;11;-3.869;0;0.0517;0.000253;0.0000333;0.151;0.709;155.029;4;Tamed-Dashed - ENHYPEN;ENHYPEN;1zoyteFQmeUUqyOl2Xznpy
198053;3;0.808;0.903;9;-2.179;1;0.0729;0.0899;0;0.0816;0.922;120.044;4;The Feels - TWICE;TWICE;1XyzcGhmO7iUamSS94XfqY
191462;2;0.764;0.886;1;-3.067;1;0.177;0.0109;0.0000221;0.325;0.497;102.012;4;LOCO - ITZY;ITZY;5b8FtevTVz8xVF6E208xeV
229066;50;0.761;0.665;1;-5.082;1;0.0454;0.146;0.0000069;0.171;0.574;146.024;4;be - EUNHYUK;EUNHYUK;2ixTL8BqsPxaH9qPgEhFV1
215747;24;0.674;0.896;0;-3.501;0;0.0554;0.064;0;0.33;0.747;105.012;4;Livin' In - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;4NKTswwJlcNzRYffhEIdRe
209747;28;0.732;0.714;5;-4.247;0;0.0436;0.0519;0;0.136;0.718;107.96;4;Evanesce Ⅱ - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;5ItK5jih15LFDfFk3Jauq6
176861;31;0.86;0.804;1;-3.769;0;0.0678;0.0638;0;0.109;0.423;104.963;4;RUM DEE DEE - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;3yfmyp6K19WfkQBvQMp76S
224320;23;0.681;0.922;11;-2.911;0;0.0699;0.239;0;0.268;0.555;99.972;4;You don't go - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;4qx5hHppRgEbga6Nt4TOqe
223573;26;0.694;0.931;4;-1.862;0;0.055;0.136;0;0.415;0.595;120.016;4;Circus - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;4sPVD5TemKVEmwZSpiA4Gq
198826;40;0.736;0.841;4;-4.449;1;0.0418;0.0269;0.000158;0.0971;0.451;113.928;4;Beautiful Liar - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;3zfSOCMAaMpip6Wcr999g3
219948;42;0.634;0.874;1;-3.463;1;0.0398;0.0252;0;0.091;0.232;130.024;4;The Crown - SUPER JUNIOR;SUPER JUNIOR;5bHTRBY6iFbok6xm6dP4HH
197797;32;0.744;0.732;1;-5.655;0;0.249;0.137;0;0.0846;0.496;102.027;4;Heads Up - SUPER JUNIOR;SUPER JUNIOR;13SYwQjMQAUXH4xocWc539
205013;49;0.622;0.741;9;-4.772;0;0.0593;0.296;0;0.155;0.513;120.011;4;Burn The Floor - SUPER JUNIOR;SUPER JUNIOR;2UT7Ba7JX3GXVuy4fVYAL2
241453;53;0.489;0.876;0;-3.279;1;0.125;0.0797;0;0.139;0.833;114.959;4;House Party - SUPER JUNIOR;SUPER JUNIOR;0awQIOFGtg18LCJ0WhFf8s
196840;43;0.684;0.913;1;-4.489;1;0.0567;0.0144;0.000171;0.337;0.599;103.974;4;Paradox - SUPER JUNIOR;SUPER JUNIOR;6sFwPBpeRriLHP6klr22Tv
186451;29;0.662;0.831;5;-4.009;1;0.0367;0.0339;0.0000499;0.288;0.465;100.031;4;One More Time (Otra Vez) - SJ Version - SUPER JUNIOR;SUPER JUNIOR;0dAwu9pKdrm4psaIxXwCuC
200826;48;0.789;0.884;7;-2.659;1;0.148;0.0941;0;0.0569;0.607;100.09;4;2YA2YAO! - SUPER JUNIOR;SUPER JUNIOR;7iQTGSIl9m4jofHBGby9kZ
209151;48;0.768;0.951;0;-4.404;1;0.183;0.0452;0;0.275;0.878;140.026;4;SUPER Clap - SUPER JUNIOR;SUPER JUNIOR;52ubrjNeYr0bJNuYGmxfpV
201111;57;0.711;0.885;5;-3.299;0;0.0477;0.0044;0;0.207;0.866;121.978;4;Black Suit - SUPER JUNIOR;SUPER JUNIOR;0cCm1PbOd6nqAPDdA3PRfs
194602;43;0.571;0.878;0;-3.096;0;0.0511;0.00195;0;0.526;0.681;134.991;4;Danger - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;75Wfq80T9FektQegttDOTs
206920;44;0.674;0.852;2;-3.137;1;0.0566;0.049;0;0.33;0.77;117.07;4;ZERO - SUPER JUNIOR-D&E;SUPER JUNIOR-D&E;7pWYbXXcXaDenC0yQylDmQ
198453;59;0.656;0.875;0;-2.739;0;0.0463;0.0799;0;0.222;0.708;88.938;4;1, 3, 2 (JEONGYEON, MINA, TZUYU) - TWICE;TWICE;6bS9w12VuyaqkbNKnw5zZE
205466;59;0.739;0.907;11;-2.487;0;0.156;0.389;0.00000133;0.0658;0.778;120.069;4;PUSH & PULL (JIHYO, SANA, DAHYUN) - TWICE;TWICE;7kbOwsTp2Uqm1scjRPiVt4
187800;60;0.656;0.851;7;-2.972;0;0.215;0.065;0;0.141;0.752;93.208;4;ESPRESSO - TWICE;TWICE;61iEzLnJzBnMwumWtn0nFp
191253;59;0.756;0.889;11;-3.076;0;0.0945;0.0921;0;0.196;0.653;117.971;4;F.I.L.A (Fall In Love Again) - TWICE;TWICE;4O1WbQwMV0W6Y2dUCvwoBx
187933;56;0.858;0.831;9;-3.029;0;0.12;0.0977;0;0.0453;0.886;119.975;4;REAL YOU - TWICE;TWICE;3ax3sc1Rn99YbjyKT0HALS
211426;60;0.84;0.827;9;-2.958;1;0.061;0.0112;0;0.151;0.82;124.989;4;CRUEL - TWICE;TWICE;139JUU8fJkQoeHl9nABk9C
176160;63;0.746;0.809;6;-3.571;0;0.0484;0.0338;0;0.0756;0.816;149.984;4;ICON - TWICE;TWICE;2VdU1ksBKcETBr8BYRHUvB
227453;59;0.495;0.926;8;-4.589;0;0.323;0.0384;0;0.348;0.642;159.922;4;Blockbuster feat. YEONJUN of TOMORROW X TOGETHER - ENHYPEN,YEONJUN;ENHYPEN,YEONJUN;08XshFxOo9rcQagObgcoK6
167820;65;0.441;0.59;0;-5.615;1;0.0514;0.242;0;0.349;0.411;84.633;4;Just A Little Bit - ENHYPEN;ENHYPEN;3QdjLOemIcMZovVOnvJP7P
201707;67;0.766;0.844;10;-3.993;0;0.0575;0.0502;0;0.269;0.823;122.019;4;Go Big or Go Home - ENHYPEN;ENHYPEN;6IqKFke4ZhKbGYULllEezY
189402;64;0.608;0.886;0;-3.027;1;0.0773;0.0281;0;0.446;0.783;106.02;4;Upper Side Dreamin’ - ENHYPEN;ENHYPEN;6oSCR9n71tmwWL3GFb65Ec
139213;0;0.852;0.759;9;-4.45;1;0.0495;0.353;0.00000186;0.152;0.911;131.946;4;SHOOT! - ITZY;ITZY;11RRkvXd7FvwxLWvtuBIR1
218887;0;0.863;0.854;4;-4.564;0;0.0893;0.0418;0.00152;0.0551;0.784;119.996;4;Look Here - BTS;BTS;5tHj7TuWS1h6GDU0Ajcm32
199919;75;0.644;0.867;11;-4.18;0;0.0383;0.001;0;0.105;0.687;124.997;4;LO$ER=LO♡ER - TOMORROW X TOGETHER;TOMORROW X TOGETHER;21aOLk12MksET8AsbU0SI6
197413;60;0.61;0.761;2;-3.111;0;0.0432;0.0357;0;0.173;0.467;144.852;4;You can't sit with us - SUNMI;SUNMI;4aS8OY1JsRSBKGfnAkIOZH
237413;47;0.735;0.865;9;-4.542;0;0.0487;0.293;0.00137;0.115;0.508;124.92;4;Poison Love - Dreamcatcher;Dreamcatcher;7C3cUybMDDF7PKyFcDWouF
191946;60;0.55;0.932;4;-2.75;0;0.0855;0.0183;0;0.344;0.45;170.012;4;BEcause - Dreamcatcher;Dreamcatcher;3L74uwShK0JqEUZ5Y2JoDW
147320;53;0.817;0.649;1;-4.79;0;0.183;0.17;0;0.303;0.737;106.974;4;Conversation - TWICE;TWICE;51m3W8o9IlVrdWDEyqSY4F
197011;43;0.645;0.844;6;-1.612;0;0.0383;0.0261;0.000238;0.0767;0.731;143.957;4;Masquerade - CHUNG HA;CHUNG HA;0AABiBAIYQCMpLI0ODbDDL
194573;38;0.767;0.729;9;-4.543;0;0.162;0.0508;0;0.0681;0.753;115.008;4;Outerspace (feat. Loco) - KANGDANIEL,Loco;KANGDANIEL,Loco;6FAxtrYysG7kIZlCreBf0q
210573;72;0.688;0.909;8;-1.992;1;0.0624;0.0474;0.00000135;0.0674;0.702;97.097;4;Alcohol-Free - TWICE;TWICE;0BTaaKT4RMbs5M73tOHX5Y
182946;57;0.812;0.754;8;-2.972;0;0.218;0.0535;0;0.0495;0.771;107.03;4;First Time - TWICE;TWICE;3YdqewCLgGsFhruA3EhILy
187585;5;0.702;0.741;9;-5.33;1;0.0427;0.00544;0;0.337;0.646;124.925;4;Permission to Dance - BTS;BTS;0LThjFY2iTtNdd4wviwVV2
182680;62;0.684;0.877;3;-2.322;0;0.0611;0.0477;0;0.344;0.599;134.98;4;Perfect World - TWICE;TWICE;0hpYo5x9iNMGz52fRrflbT
197493;48;0.515;0.965;4;-2.936;0;0.111;0.00232;0;0.529;0.612;164.951;4;Wind Blows - Dreamcatcher;Dreamcatcher;3xml6p9dSyY4hVPF6UGtdc
194771;64;0.776;0.746;5;-5.528;0;0.0532;0.00551;0;0.382;0.581;96.004;4;Frost - TOMORROW X TOGETHER;TOMORROW X TOGETHER;3Yp61j6axuQe4nxYWvbOXy
194912;61;0.529;0.806;0;-3.8;0;0.0364;0.000184;0.00000487;0.27;0.492;125.09;4;Dear Sputnik - TOMORROW X TOGETHER;TOMORROW X TOGETHER;7ypFllJwlotXBJfLjsXhvo
186076;63;0.747;0.736;5;-4.636;0;0.0544;0.00158;0.000033;0.214;0.703;120.03;4;No Rules - TOMORROW X TOGETHER;TOMORROW X TOGETHER;1lb61ya67YS87CtjYN0bil
159749;64;0.654;0.88;8;-4.819;1;0.413;0.00303;0;0.32;0.51;108.236;4;Magic - TOMORROW X TOGETHER;TOMORROW X TOGETHER;4Wh5WGtov1VJ6EJ8OQgNeS
202203;75;0.584;0.836;0;-4.925;1;0.079;0.0558;0;0.0663;0.484;104.973;4;0X1=LOVESONG (I Know I Love You) feat. Seori - TOMORROW X TOGETHER;TOMORROW X TOGETHER;1Z8TPHiKeCUyClxV6WTTIf
215188;73;0.641;0.489;0;-8.668;0;0.11;0.0509;0;0.071;0.206;142.977;4;Anti-Romantic - TOMORROW X TOGETHER;TOMORROW X TOGETHER;44tTqUi3xi7E28QLzHVdUA
164441;2;0.759;0.459;8;-5.187;1;0.0948;0.00323;0;0.0906;0.695;109.997;4;Butter - BTS;BTS;3VqeTFIvhxu3DIe4eZVzGq
183259;63;0.623;0.9;8;-3.944;0;0.236;0.0486;0;0.266;0.773;156.889;4;Mixed Up - ENHYPEN;ENHYPEN;6S0By3u06ttb3kU2XEtWnw
181196;66;0.583;0.589;2;-6.621;1;0.203;0.0612;0;0.108;0.56;192.13;4;Not For Sale - ENHYPEN;ENHYPEN;3dG1jxbfBIZvzyFwAcsmS0
172106;78;0.6;0.713;6;-5.079;0;0.0592;0.0642;0;0.142;0.471;72.999;4;FEVER - ENHYPEN;ENHYPEN;0UzymivvUH5s8z4PeWZJaK
193260;77;0.599;0.869;5;-5.174;0;0.0618;0.000707;0;0.0911;0.453;132.889;4;Drunk-Dazed - ENHYPEN;ENHYPEN;1wcr8DjnN59Awev8nnKpQ4
179156;60;0.625;0.903;4;-2.519;1;0.0594;0.006;0;0.235;0.825;145.97;4;Bicycle - CHUNG HA;CHUNG HA;7wDVvxMUdW5MtJUqFtuXUz
174173;0;0.883;0.845;11;-2.069;1;0.0585;0.0161;0.00157;0.29;0.656;116.004;4;I'm Not Cool - HyunA;HyunA;7xTOqnsOV6qHBPWoCWpzGM
195333;59;0.633;0.735;0;-3.042;0;0.0363;0.0513;0;0.259;0.558;97.03;4;PARANOIA - KANGDANIEL;KANGDANIEL;1Q6lzzQHM5dvtTCwcfeKDy
184413;58;0.534;0.933;6;-1.826;0;0.11;0.049;0;0.195;0.529;160.061;4;Odd Eye - Dreamcatcher;Dreamcatcher;28Jwll1H52Hr4JzQ6vMoul
198866;52;0.676;0.597;5;-6.249;1;0.0387;0.0953;0;0.455;0.522;100.156;4;DEPEND ON YOU - TWICE;TWICE;34WYAVk1WHSyMxY9tHRPyA
181613;42;0.707;0.582;8;-4.398;0;0.146;0.323;0;0.189;0.827;163.966;4;Impressionable - TAEMIN;TAEMIN;3QAgFsUgFfRNk8UFfB0f89
200946;0;0.719;0.863;11;-4.955;0;0.0592;0.163;0;0.063;0.851;136.996;4;BET BET - NU'EST;NU'EST;7bbt0ctE5rmFVPjdQuj8af
184200;0;0.829;0.627;8;-4.533;0;0.0814;0.153;0;0.0702;0.733;100.047;4;I'm in Trouble - NU'EST;NU'EST;30iB3Vk6T4gAUfZ0OvmwxY
204167;74;0.702;0.692;10;-5.405;1;0.0539;0.0542;0;0.0877;0.419;144.896;4;CRY FOR ME - TWICE;TWICE;2xtP8RNbo2BEMzLX7tK7aq
193401;33;0.586;0.693;1;-3.454;1;0.0852;0.0751;0;0.341;0.709;96.991;4;Keep On Doin' - LUNA;LUNA;63biOgtXg9FyG34v3S8cbB
189858;66;0.483;0.795;8;-4.338;0;0.181;0.00258;0;0.0912;0.685;171.853;4;Let Me In (20 CUBE) - ENHYPEN;ENHYPEN;4eOcd47wPU3ixxYw0spREl
194220;65;0.876;0.73;6;-4.276;0;0.0492;0.0345;0.00000111;0.11;0.709;110.006;4;10 Months - ENHYPEN;ENHYPEN;3LcFQsZw01tRvjCNLgSmTv
144370;64;0.656;0.761;10;-5.112;0;0.092;0.00647;0.00000335;0.169;0.549;85.149;4;Flicker - ENHYPEN;ENHYPEN;3TgPwLFXV6GEIsDZANHktY
183090;72;0.631;0.649;8;-4.939;0;0.0377;0.17;0;0.321;0.459;108.07;4;Given-Taken - ENHYPEN;ENHYPEN;69WpV0U7OMNFGyq8I63dcC
192933;44;0.621;0.919;0;-2.594;1;0.0401;0.106;0.00000547;0.0604;0.921;168.029;4;Jelly - Red Velvet - IRENE & SEULGI;Red Velvet - IRENE & SEULGI;6mu2cymBOKqnp4QP0966fW
192735;0;0.659;0.738;5;-3.894;0;0.0659;0.0347;0.00000226;0.114;0.615;117.081;4;Dream of You (with R3HAB) - CHUNG HA,R3HAB;CHUNG HA,R3HAB;5SEvxpu5ImOFOcXyeM8fbx
204800;1;0.582;0.693;6;-5.048;1;0.0465;0.114;0;0.13;0.341;125.904;4;Stay - BTS;BTS;3ndCsZfq8OVwwkz9mmZvUz
239722;1;0.731;0.845;8;-5.352;1;0.132;0.0132;0;0.0782;0.484;101.085;4;Dis-ease - BTS;BTS;54DmTIv86D3sYdiawjULQ0
202313;1;0.787;0.669;5;-4.333;0;0.0428;0.00782;0;0.123;0.57;104.994;4;Telepathy - BTS;BTS;2FVpOsjT1iquZ3SpCjZ9Ne
222242;1;0.764;0.526;11;-7.355;1;0.212;0.0484;0;0.0718;0.588;114.91;4;Fly To My Room - BTS;BTS;3QH8rQGNFX8VLbCgZ7uPTS
193546;58;0.48;0.813;10;-5.437;0;0.0575;0.00456;0;0.229;0.7;120.888;4;IDEA (理想) - TAEMIN;TAEMIN;1IYN3VqZzehgwh5NqnavIQ
177728;1;0.776;0.911;2;-3.08;0;0.131;0.155;0.00000259;0.268;0.56;101.027;4;Not Shy - ITZY;ITZY;4ecVWqbtW6phQGpZMAyqIU
223666;57;0.768;0.698;6;-4.712;0;0.046;0.00123;0.00031;0.353;0.584;124.99;4;BETTER - TWICE;TWICE;0rSMzlAKNapoat4NdZYmi3
211280;65;0.634;0.858;4;-2.226;0;0.0809;0.101;0.00000856;0.258;0.637;91.688;4;AYA - MAMAMOO;MAMAMOO;4BZXVFYCb76Q0Klojq4piV
179586;53;0.78;0.896;11;-2.482;0;0.0614;0.0101;0;0.091;0.715;124.926;4;DO WHAT WE LIKE - TWICE;TWICE;54kGRAmn3I49RPAhdWG2sp
179320;58;0.8;0.81;4;-3.82;0;0.0604;0.182;0.00000106;0.107;0.694;105.042;4;HELL IN HEAVEN - TWICE;TWICE;3KCreWc88InXH3XuL54C5a
214240;62;0.709;0.88;2;-2.734;1;0.0585;0.0298;0.00000446;0.103;0.713;119.948;4;UP NO MORE - TWICE;TWICE;1LiNP5q2thWScdvCRkJ584
181520;56;0.791;0.852;6;-3.569;0;0.0449;0.296;0.0000156;0.0999;0.509;100.062;4;GO HARD - TWICE;TWICE;5uZ5VUoj2al8GttE421bTD
193573;56;0.629;0.837;0;-3.112;1;0.258;0.139;0;0.107;0.423;105.882;4;QUEEN - TWICE;TWICE;2xVCwFrNYnllRX1g0drYVI
208133;52;0.842;0.638;2;-2.73;0;0.0684;0.207;0;0.118;0.606;115.051;4;BRING IT BACK - TWICE;TWICE;2APCo1hwAaua9CslYXqALD
205493;77;0.657;0.88;10;-3.672;0;0.102;0.121;0;0.463;0.769;150.084;4;I CAN'T STOP ME - TWICE;TWICE;37ZtpRBkHcaq6hHy0X98zn
182945;57;0.586;0.769;3;-5.388;0;0.249;0.042;0;0.151;0.458;152.78;4;Way Home - TOMORROW X TOGETHER;TOMORROW X TOGETHER;195eCIcjTLsOJZ1nfNHUUJ
191788;60;0.61;0.92;3;-5.054;1;0.107;0.00059;0;0.307;0.301;149.966;4;Wishlist - TOMORROW X TOGETHER;TOMORROW X TOGETHER;4A6f3zMLDDAUgkGTLtpMc3
209105;74;0.71;0.82;3;-4.362;0;0.0836;0.00962;0;0.0871;0.746;112.005;4;Blue Hour - TOMORROW X TOGETHER;TOMORROW X TOGETHER;3ObPkJQAgjAhTwYvDhPrAW
210549;61;0.551;0.784;10;-3.901;0;0.0753;0.0391;0;0.0332;0.764;105.748;4;We Lost The Summer - TOMORROW X TOGETHER;TOMORROW X TOGETHER;1WrScpykT891CZhFThXJtj
223491;64;0.413;0.878;9;-4.942;1;0.0694;0.00319;0.000961;0.305;0.694;151.989;4;Ghosting - TOMORROW X TOGETHER;TOMORROW X TOGETHER;6mS8cd33jFrighnLc0obxQ
179080;63;0.772;0.925;9;-2.788;0;0.108;0.0549;0;0.201;0.795;119.963;4;Dingga - MAMAMOO;MAMAMOO;0bDYceyQd1jnJO4sK47YxU
181853;0;0.792;0.696;9;-4.87;1;0.0545;0.0818;0.00181;0.447;0.75;127.992;4;ALIEN - LEE SUHYUN;LEE SUHYUN;4usd9lLG24P5tRp92CRoPc
198520;62;0.693;0.759;7;-2.9;1;0.208;0.055;0.00000136;0.116;0.635;112.983;4;Naughty - Red Velvet - IRENE & SEULGI;Red Velvet - IRENE & SEULGI;0P8lbWigAHXPKxUG60xh79
225720;60;0.666;0.908;5;-2.819;0;0.056;0.0323;0;0.383;0.655;155.048;4;HELICOPTER - CLC;CLC;2hJS7BdEaH9Jo8MeJujsHT
185093;53;0.701;0.92;0;-2.742;0;0.157;0.351;0;0.149;0.567;79.454;4;Red Sun - Dreamcatcher;Dreamcatcher;5lwWpQ71GKN3sWmk8zZr9g
206944;52;0.567;0.863;6;-3.97;0;0.124;0.275;0;0.197;0.618;153.899;4;So Good - Red Velvet;Red Velvet;0W9HGC75wwxU4YweY045ln
198066;50;0.594;0.875;11;-4.452;0;0.0584;0.0552;0.000148;0.149;0.477;160.008;4;Silent Night - Dreamcatcher;Dreamcatcher;6WtBCTeMrTC9oKQ8dgSWcM
196053;47;0.6;0.83;0;-3.943;0;0.161;0.128;0.00000307;0.0972;0.535;149.76;4;In The Frozen - Dreamcatcher;Dreamcatcher;0dGhRWXSyJynaufQcsnamE
201475;52;0.684;0.705;9;-3.507;1;0.0881;0.135;0;0.219;0.529;101.924;4;Betcha - BAEKHYUN;BAEKHYUN;1YhC9zXqhm1zsFpcf7vTPN
168893;51;0.696;0.751;11;-4.966;0;0.161;0.138;0;0.282;0.478;110.8;4;SHADOW - TWICE;TWICE;7HzvvhTmfzvD1dV4F7MIcm
193466;51;0.7;0.92;10;-1.532;0;0.0536;0.115;0.00000293;0.701;0.685;108.006;4;FIREWORK - TWICE;TWICE;5NhDDt5Zy8yGOECN3PLRdE
235628;0;0.67;0.874;2;-3.938;1;0.0442;0.00366;0.000747;0.117;0.699;127.975;4;Sugar Free - BigRoom Version - T-ARA;T-ARA;4Xhz9DZ4e1Qe7R9Ba78z9b
206345;0;0.516;0.94;6;-5.499;0;0.395;0.0141;0.00000642;0.35;0.384;130.269;4;Calling (Run To You) - I-LAND;I-LAND;5ZNNKQztXgsIUqg8lmwUUq
181480;60;0.582;0.77;1;-3.52;1;0.0406;0.00253;0;0.198;0.348;135.008;4;GUNSHOT - KARD;KARD;4qMt92hgQlJMyJjdI0Nw2h
190306;0;0.676;0.82;11;-4.278;0;0.242;0.0413;0;0.127;0.777;155.118;4;My Pace - Stray Kids;Stray Kids;77S3DRpDbkxHW1ZVTVyF9w
208666;0;0.565;0.976;9;-3.199;1;0.132;0.00946;0;0.337;0.45;126.067;4;MIROH - Stray Kids;Stray Kids;6gisOiWATiawP3eFUAGtJe
195253;0;0.596;0.98;2;-1.667;1;0.168;0.0223;0;0.0667;0.143;97.454;3;Side Effects - Stray Kids;Stray Kids;1n0deeH4R7k0A5zENssBYc
179186;38;0.706;0.809;1;-2.783;1;0.089;0.201;0;0.154;0.696;150.041;4;Movie (feat. Dvwn) - KANGDANIEL,Dvwn;KANGDANIEL,Dvwn;7nVhJyJ4ROVPGYIY6iw27o
199053;0;0.746;0.765;6;-4.41;0;0.0993;0.0112;0;0.0936;0.737;114.044;4;Dynamite - BTS;BTS;0v1x6rN6JHRapa03JElljE
189546;64;0.683;0.947;8;-1.717;0;0.064;0.00632;0.0000734;0.123;0.67;100.024;4;BOCA - Dreamcatcher;Dreamcatcher;37Ctz6MOHM2thzNIOMo7Z0
210817;75;0.714;0.736;2;-3.801;1;0.0457;0.191;0;0.0553;0.814;149.985;4;Bad Boy - Red Velvet;Red Velvet;5GKwq4sO5ZHKuWaDmdwMQc
197532;36;0.735;0.829;6;-3.51;0;0.0575;0.131;0;0.0949;0.631;94.015;4;Liar - CLC;CLC;0vce2egaZUDN6hLXUD4m0R
217322;0;0.522;0.916;1;-4.766;1;0.0786;0.016;0;0.149;0.549;122.046;4;Into the I-LAND - Applicants Version - I-LAND;I-LAND;0nTMrb8liUqXmEH9MZQqtV
202160;50;0.739;0.918;11;-1.622;0;0.0704;0.102;0;0.0901;0.476;108.032;4;Who U Are - KANGDANIEL;KANGDANIEL;6C9dV3oVFBYZ3CShCU300P
224929;0;0.587;0.741;8;-5.562;0;0.0758;0.0921;0;0.221;0.269;93.096;4;I&credible - I-LAND;I-LAND;3UrYzeFR2wVIk2SAInaiDJ
193120;46;0.577;0.657;7;-5.132;1;0.244;0.047;0.0000693;0.209;0.303;97.954;4;Feel Good - Red Velvet - IRENE & SEULGI;Red Velvet - IRENE & SEULGI;59yaVNyPDsHYGnsDTJSH67
207746;0;0.732;0.804;10;-3.91;0;0.0433;0.0213;0;0.132;0.657;129.98;4;Love Me Harder - WOODZ;WOODZ;6fDFxA3j4WpfeCVihCPWSH
219808;0;0.478;0.574;1;-8.886;1;0.0606;0.00036;0.00719;0.157;0.187;71.984;4;Honsool - Agust D;Agust D;5Ncjypx5upZS5ZZTaqUzIf
217238;0;0.625;0.831;2;-2.186;0;0.056;0.203;0.000483;0.0783;0.491;121.025;4;Stay Tonight - CHUNG HA;CHUNG HA;3As0OA5B06BxLfADvYyG8L
178413;68;0.631;0.748;4;-2.569;0;0.0488;0.212;0;0.537;0.351;115.665;4;Monster - Red Velvet - IRENE & SEULGI;Red Velvet - IRENE & SEULGI;6c1QaQHdDhtFMfUkhueuXK
199524;0;0.637;0.94;3;-0.792;0;0.101;0.17;0.0000267;0.152;0.884;103.934;4;PLAY - CHUNG HA,CHANGMO;CHUNG HA,CHANGMO;1SdLedoEjrMRu5AnvK2EYk
192706;58;0.568;0.804;0;-2.995;0;0.136;0.211;0;0.14;0.612;159.68;4;In & Out - Red Velvet;Red Velvet;2iYnEfKsAsE86Yb9mS4b3E
188785;59;0.719;0.85;2;-3.229;1;0.0317;0.012;0.000239;0.114;0.367;150.059;4;RBB (Really Bad Boy) - Red Velvet;Red Velvet;4xjVP2Vogo0C72o6Nevq0W
191139;69;0.709;0.917;9;-3.315;1;0.189;0.0409;0;0.0839;0.515;125.042;4;Red Flavor - Red Velvet;Red Velvet;7nKQ5WAcjnG48knyLuo8gO
198000;37;0.578;0.932;11;-2.451;0;0.218;0.00293;0.0000839;0.166;0.48;165.009;4;Endless Night - Dreamcatcher;Dreamcatcher;71OnJpHKkV7WWghsYOVUae
175173;45;0.6;0.81;3;-3.577;0;0.0727;0.00311;0.0000038;0.291;0.422;145.006;4;ENEMY - KARD;KARD;03v4cC1r1VyIhcYrPAu65U
199026;74;0.658;0.749;9;-2.967;0;0.0634;0.238;0.00000203;0.272;0.442;128.909;4;Maria - Hwa Sa;Hwa Sa;0ZeGfEAL5Rl4pd5LZBGuEK
204293;61;0.704;0.94;4;-2.233;0;0.158;0.0312;0;0.29;0.311;137.909;4;Scream - Dreamcatcher;Dreamcatcher;3vPHCKu5UhbGLe9rs8dBGr
